id_DC	id_CL	Feldname
customfield_11621	customfield_10334	Vereinsfunktion 3 Bis
customfield_11631	customfield_10335	Vereinsfunktion 3 Ge�ndert am
customfield_11611	customfield_10294	Vereinsfunktion 3 Von
customfield_11410	customfield_10336	Vereinsfunktion 4
customfield_11622	customfield_10282	Vereinsfunktion 4 Bis
customfield_11632	customfield_10337	Vereinsfunktion 4 Ge�ndert am
customfield_11612	customfield_10284	Vereinsfunktion 4 Von
customfield_11411	customfield_10285	Vereinsfunktion 5
customfield_11623	customfield_10286	Vereinsfunktion 5 Bis
customfield_11633	customfield_10296	Vereinsfunktion 5 Ge�ndert am
customfield_11613	customfield_10297	Vereinsfunktion 5 Von
customfield_11412	customfield_10287	Vereinsfunktion 6
customfield_11624	customfield_10288	Vereinsfunktion 6 Bis
customfield_11634	customfield_10303	Vereinsfunktion 6 Ge�ndert am
customfield_11614	customfield_10300	Vereinsfunktion 6 Von
customfield_11413	customfield_10338	Vereinsfunktion 7
customfield_11625	customfield_10309	Vereinsfunktion 7 Bis
customfield_11635	customfield_10339	Vereinsfunktion 7 Ge�ndert am
customfield_11615	customfield_10308	Vereinsfunktion 7 Von
customfield_11414	customfield_10312	Vereinsfunktion 8
customfield_11626	customfield_10291	Vereinsfunktion 8 Bis
customfield_11636	customfield_10299	Vereinsfunktion 8 Ge�ndert am
customfield_11616	customfield_10289	Vereinsfunktion 8 Von
customfield_11415	customfield_10340	Vereinsfunktion 9
customfield_11627	customfield_10314	Vereinsfunktion 9 Bis
customfield_11637	customfield_10315	Vereinsfunktion 9 Ge�ndert am
customfield_11617	customfield_10341	Vereinsfunktion 9 Von
	customfield_10017	Vorgangsfarbe
customfield_11702		Warning
customfield_11810	customfield_10329	Webseite
customfield_12608	customfield_10320	Weitere Angaben zu Branchen
customfield_12607	customfield_10304	Weitere Angaben zu Kompetenzen
customfield_10271	customfield_10406	Weitere Informationen
customfield_10328	customfield_10234	Weitere Kommentare Klient
customfield_10322	customfield_10203	Weitere Unterst�tzung
customfield_10312	customfield_10420	Weitere Unterst�tzung/Folgeberatung angeboten
customfield_10323	customfield_10240	Weiterempfehlung
customfield_10603	customfield_10464	W�nsche im Detail
customfield_10315	customfield_10409	Zahl der Mitarbeiter
	customfield_10418	Ziel erreicht
	customfield_10028	Ziele
customfield_10800	customfield_10244	Zus. Bearbeiter
customfield_11455	customfield_10440	Zus�tzliche E-Mail
customfield_10502	customfield_10462	Zusatzvereinbarung

