id                name                                                         schema
--                ----                                                         ------
customfield_11415 Vereinsfunktion 9                                            @{type=option; custom=com.atlassian.jir…
customfield_10207 K.Nachname                                                   @{type=string; custom=com.atlassian.jir…
customfield_10328 Weitere Kommentare Klient                                    @{type=string; custom=com.atlassian.jir…
customfield_10208 K.Rechnung-Strasse                                           @{type=string; custom=com.atlassian.jir…
customfield_10329 Kommentare FB                                                @{type=string; custom=com.atlassian.jir…
customfield_10209 K.Rechnung-PLZ                                               @{type=string; custom=com.atlassian.jir…
customfield_10320 Kontakt nicht möglich                                        @{type=array; items=option; custom=com.…
customfield_11410 Vereinsfunktion 4                                            @{type=option; custom=com.atlassian.jir…
customfield_10321 Hilfreich                                                    @{type=option; custom=com.atlassian.jir…
customfield_11412 Vereinsfunktion 6                                            @{type=option; custom=com.atlassian.jir…
customfield_10322 Weitere Unterstützung                                        @{type=option; custom=com.atlassian.jir…
customfield_10202 Bezahlstatus                                                 @{type=option; custom=com.atlassian.jir…
customfield_11411 Vereinsfunktion 5                                            @{type=option; custom=com.atlassian.jir…
customfield_10323 Weiterempfehlung                                             @{type=option; custom=com.atlassian.jir…
customfield_10313 Feedback gewünscht                                           @{type=option; custom=com.atlassian.jir…
customfield_11524 V.StNr                                                       @{type=string; custom=com.atlassian.jir…
customfield_11402 K.Firma                                                      @{type=string; custom=com.atlassian.jir…
customfield_10314 Kurze Zusammenfassung der geleisteten Beratung               @{type=string; custom=com.atlassian.jir…
customfield_11523 V.Nr                                                         @{type=string; custom=com.atlassian.jir…
customfield_10315 Zahl der Mitarbeiter                                         @{type=option; custom=com.atlassian.jir…
customfield_10316 Gründungsberatung                                            @{type=option; custom=com.atlassian.jir…
customfield_11525 V.Vorstand                                                   @{type=string; custom=com.atlassian.jir…
customfield_11404 Vereinsfunktion 1                                            @{type=option; custom=com.atlassian.jir…
customfield_10317 Gründungszuschuss beantragt                                  @{type=option; custom=com.atlassian.jir…
customfield_10318 Gründungszuschuss genehmigt                                  @{type=option; custom=com.atlassian.jir…
customfield_10319 Kunde steht als Referenz zur Verfügung                       @{type=option; custom=com.atlassian.jir…
customfield_11409 Vereinsfunktion 3                                            @{type=option; custom=com.atlassian.jir…
customfield_11408 Vereinsfunktion  2                                           @{type=option; custom=com.atlassian.jir…
customfield_10430 Storno mail comment 1                                        @{type=string; custom=com.atlassian.jir…
customfield_11520 V.Bank                                                       @{type=string; custom=com.atlassian.jir…
customfield_10310 Beratung vollständig durchgeführt (Bei Nein, konnte helfen?) @{type=option-with-child; custom=com.at…
customfield_10431 Storno mail comment 2                                        @{type=string; custom=com.atlassian.jir…
customfield_10432 Auftragstyp                                                  @{type=option; custom=com.atlassian.jir…
customfield_11401 K.Rechnung-Nachname                                          @{type=string; custom=com.atlassian.jir…
customfield_10311 Kunde mit Beratung zufrieden                                 @{type=option; custom=com.atlassian.jir…
customfield_12611 Mitgliedsnummer-Basis                                        @{type=string; custom=com.atlassian.jir…
customfield_11522 V.BIC                                                        @{type=string; custom=com.atlassian.jir…
customfield_11400 K.Rechnung-Vorname                                           @{type=string; custom=com.atlassian.jir…
customfield_10433 Steuersatz in Prozent                                        @{type=option; custom=com.atlassian.jir…
customfield_11521 V.IBAN                                                       @{type=string; custom=com.atlassian.jir…
customfield_10312 Weitere Unterstützung/Folgeberatung angeboten                @{type=option; custom=com.atlassian.jir…
customfield_11513 Auftragsbestätigung-Status                                   @{type=option; custom=com.atlassian.jir…
customfield_12602 Infos zusenden                                               @{type=option; custom=com.atlassian.jir…
customfield_11634 Vereinsfunktion 6 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_11512 E-Mail_RL_New_Kontakt                                        @{type=option; custom=com.atlassian.jir…
customfield_10303 RL.Name                                                      @{type=string; custom=com.atlassian.jir…
customfield_11633 Vereinsfunktion 5 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_12604 Einsatzbereitschaft (in Std./Woche)                          @{type=string; custom=com.atlassian.jir…
customfield_10425 Leistung                                                     @{type=string; custom=com.atlassian.jir…
customfield_10304 RL.Strasse                                                   @{type=string; custom=com.atlassian.jir…
customfield_11515 V.Strasse                                                    @{type=string; custom=com.atlassian.jir…
customfield_11636 Vereinsfunktion 8 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_10426 Auftrag mail comment 1                                       @{type=string; custom=com.atlassian.jir…
customfield_12603 E-Mail_RL_New_Interessent                                    @{type=array; items=option; custom=com.…
customfield_10305 RL.Ort                                                       @{type=string; custom=com.atlassian.jir…
customfield_11635 Vereinsfunktion 7 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_10427 Auftrag mail comment 2                                       @{type=string; custom=com.atlassian.jir…
customfield_10306 RL.PLZ                                                       @{type=string; custom=com.atlassian.jir…
customfield_12606 Sonstige Bemerkungen                                         @{type=string; custom=com.atlassian.jir…
customfield_11517 V.Tel                                                        @{type=string; custom=com.atlassian.jir…
customfield_11638 Vereinsfunktion 10 Geändert am                               @{type=string; custom=com.atlassian.jir…
customfield_12605 Bildverwertung in Medien                                     @{type=option; custom=com.atlassian.jir…
customfield_10428 K.Fax                                                        @{type=string; custom=com.atlassian.jir…
customfield_10307 RL.Tel-Mobil                                                 @{type=string; custom=com.atlassian.jir…
customfield_11516 V.Ort                                                        @{type=string; custom=com.atlassian.jir…
customfield_11637 Vereinsfunktion 9 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_10308 RL.Fax                                                       @{type=string; custom=com.atlassian.jir…
customfield_11519 V.Mail                                                       @{type=string; custom=com.atlassian.jir…
customfield_12608 Weitere Angaben zu Branchen                                  @{type=string; custom=com.atlassian.jir…
customfield_10429 issueFunction                                                @{type=any; custom=com.onresolve.jira.g…
customfield_10309 RL.E-Mail AS                                                 @{type=string; custom=com.atlassian.jir…
customfield_11518 V.Fax                                                        @{type=string; custom=com.atlassian.jir…
